,0,1,2,3,4
0,ISIC_0001769,168,232,288,344
1,ISIC_0001852,208,216,296,304
2,ISIC_0001871,160,192,280,280
3,ISIC_0003462,184,192,272,272
4,ISIC_0003539,48,192,208,288
5,ISIC_0003582,136,88,376,320
6,ISIC_0003657,176,96,320,224
7,ISIC_0003805,112,176,224,248
8,ISIC_0004337,168,176,288,264
9,ISIC_0006651,168,72,328,200
10,ISIC_0006671,288,184,392,272
11,ISIC_0006815,160,224,232,272
12,ISIC_0006914,144,144,296,312
13,ISIC_0007141,160,248,368,432
14,ISIC_0007156,184,144,328,248
15,ISIC_0007235,184,192,336,296
16,ISIC_0007241,144,168,288,264
17,ISIC_0007332,184,128,360,264
18,ISIC_0007344,272,56,440,216
19,ISIC_0007528,184,208,288,264
20,ISIC_0007796,160,168,280,264
21,ISIC_0008025,160,112,384,240
22,ISIC_0008524,192,176,344,256
23,ISIC_0009995,16,0,512,512
24,ISIC_0010459,0,72,512,512
25,ISIC_0012099,200,224,280,288
26,ISIC_0012109,200,224,312,296
27,ISIC_0012126,192,224,256,288
28,ISIC_0012127,240,208,328,272
29,ISIC_0012143,72,160,432,352
30,ISIC_0012151,80,144,464,400
31,ISIC_0012159,256,200,360,264
32,ISIC_0012160,184,208,344,288
33,ISIC_0012191,184,216,320,288
34,ISIC_0012201,144,200,320,312
35,ISIC_0012204,128,208,392,312
36,ISIC_0012206,136,176,384,352
37,ISIC_0012210,120,184,304,320
38,ISIC_0012221,192,216,312,304
39,ISIC_0012222,200,208,320,296
40,ISIC_0012254,72,136,352,344
41,ISIC_0012256,232,288,304,328
42,ISIC_0012288,144,192,288,280
43,ISIC_0012306,184,216,304,296
44,ISIC_0012313,184,208,296,288
45,ISIC_0012316,208,224,312,280
46,ISIC_0012335,216,240,288,304
47,ISIC_0012380,120,176,400,368
48,ISIC_0012383,168,192,400,328
49,ISIC_0012400,176,152,352,384
50,ISIC_0012417,160,136,416,272
51,ISIC_0012434,216,256,328,360
52,ISIC_0012492,24,120,144,280
53,ISIC_0012513,208,208,336,288
54,ISIC_0012538,256,200,360,288
55,ISIC_0012547,176,208,336,312
56,ISIC_0012660,136,232,336,352
57,ISIC_0012684,72,168,392,328
58,ISIC_0012720,136,144,424,328
59,ISIC_0012746,208,208,280,296
60,ISIC_0012876,74,200,368,344
61,ISIC_0012927,40,152,344,328
62,ISIC_0012956,200,224,288,272
63,ISIC_0012959,152,192,392,330
64,ISIC_0012965,216,232,272,272
65,ISIC_0013010,192,232,288,296
66,ISIC_0013082,208,208,320,280
67,ISIC_0013104,120,184,384,336
68,ISIC_0013127,40,80,432,424
69,ISIC_0013128,128,208,328,296
70,ISIC_0013132,160,208,264,296
71,ISIC_0013188,216,224,288,288
72,ISIC_0013215,64,128,416,392
73,ISIC_0013232,120,208,328,344
74,ISIC_0013421,152,136,432,360
75,ISIC_0013491,184,208,368,320
76,ISIC_0013501,184,208,368,304
77,ISIC_0013518,248,176,444,320
78,ISIC_0013527,96,216,296,296
79,ISIC_0013549,192,200,328,328
80,ISIC_0013561,136,200,384,312
81,ISIC_0013562,176,160,328,280
82,ISIC_0013637,176,192,344,312
83,ISIC_0013644,160,176,296,272
84,ISIC_0013651,104,64,352,320
85,ISIC_0013663,16,152,464,376
86,ISIC_0013702,160,168,352,352
87,ISIC_0013736,152,200,400,360
88,ISIC_0013793,152,176,360,328
89,ISIC_0013828,16,168,400,400
90,ISIC_0013863,128,264,256,352
91,ISIC_0013898,264,200,408,320
92,ISIC_0013945,224,256,288,304
93,ISIC_0014037,56,168,368,312
94,ISIC_0014038,168,200,320,320
95,ISIC_0014055,96,152,400,336
96,ISIC_0014139,72,208,240,336
97,ISIC_0014162,272,232,352,296
98,ISIC_0014178,208,176,344,296
99,ISIC_0014211,144,216,352,370
100,ISIC_0014212,56,152,424,424
101,ISIC_0014217,32,0,480,400
102,ISIC_0014302,136,224,336,320
103,ISIC_0014310,248,192,400,304
104,ISIC_0014382,112,136,464,400
105,ISIC_0014428,224,208,376,304
106,ISIC_0014558,88,144,432,344
107,ISIC_0014568,176,152,328,288
108,ISIC_0014572,160,184,320,312
109,ISIC_0014597,232,192,304,256
110,ISIC_0014601,152,120,366,296
111,ISIC_0014608,96,168,400,392
112,ISIC_0014610,192,208,360,320
113,ISIC_0014611,104,176,368,360
114,ISIC_0014616,208,192,328,296
115,ISIC_0014618,208,200,328,336
116,ISIC_0014620,216,184,344,304
117,ISIC_0014623,0,16,440,440
118,ISIC_0014624,128,144,432,280
119,ISIC_0014633,176,216,296,288
120,ISIC_0014635,216,208,328,296
121,ISIC_0014637,160,176,288,288
122,ISIC_0014688,80,80,416,384
123,ISIC_0014712,96,176,400,408
124,ISIC_0014809,160,128,440,344
125,ISIC_0014829,120,176,368,312
126,ISIC_0014857,0,112,512,480
127,ISIC_0014931,112,96,424,344
128,ISIC_0014937,0,48,512,480
129,ISIC_0014945,224,168,352,296
130,ISIC_0014946,64,128,448,376
131,ISIC_0014979,0,160,480,512
132,ISIC_0014985,0,0,504,424
133,ISIC_0014989,56,128,480,360
134,ISIC_0015043,32,120,464,384
135,ISIC_0015062,0,8,168,296
136,ISIC_0015124,72,64,488,432
137,ISIC_0015144,40,208,288,344
138,ISIC_0015211,32,96,480,432
139,ISIC_0015243,0,48,496,472
140,ISIC_0015256,16,32,504,400
141,ISIC_0015313,0,0,504,448
142,ISIC_0015372,0,72,512,488
143,ISIC_0015401,48,72,368,352
144,ISIC_0015443,48,136,432,408
145,ISIC_0015445,144,304,312,408
146,ISIC_0015483,72,80,464,448
147,ISIC_0015496,32,88,424,368
148,ISIC_0015627,136,128,336,296
